,content
10,"{'companyId': 67197, 'positionName': '数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': 'B轮', 'companySize': '500-2000人', 'companyLogo': 'i/image2/M01/80/77/CgoB5lt-As2AEvhgAABLLhD2bGU967.jpg', 'industryField': '移动互联网,电子商务', 'city': '深圳', 'salary': '10k-20k', 'companyShortName': '开思时代', 'positionId': 5091065, 'positionAdvantage': '年度双薪,行业龙头', 'createTime': '2018-12-22 10:47:39', 'district': '龙岗区', 'score': 0, 'approve': 1, 'positionLables': ['大数据', '电商', '数据挖掘'], 'industryLables': ['大数据', '电商', '数据挖掘'], 'publisherId': 1695720, 'companyLabelList': ['节日礼物', '年底双薪', '股票期权', '扁平管理'], 'businessZones': ['坂田'], 'longitude': '114.066793', 'latitude': '22.630102', 'formatCreateTime': '2018-12-22', 'companyFullName': '深圳开思时代科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 28, 'resumeProcessDay': 2, 'imState': 'today', 'lastLogin': 1545809704000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '5号线/环中线', 'stationname': '杨美', 'linestaion': '5号线/环中线_五和;5号线/环中线_坂田;5号线/环中线_杨美', 'thirdType': '数据分析', 'skillLables': ['数据挖掘']}"
11,"{'companyId': 401557, 'positionName': '数据分析师', 'workYear': '1-3年', 'education': '硕士', 'jobNature': '全职', 'financeStage': '不需要融资', 'companySize': '500-2000人', 'companyLogo': 'i/image2/M01/71/32/CgoB5ltZOqGAQHstAACDQKibGzI220.png', 'industryField': '金融', 'city': '深圳', 'salary': '20k-40k', 'companyShortName': '华泰期货', 'positionId': 5067015, 'positionAdvantage': '金融科技,精英团队,假期福利', 'createTime': '2018-12-20 16:17:45', 'district': '福田区', 'score': 0, 'approve': 1, 'positionLables': ['金融'], 'industryLables': ['金融'], 'publisherId': 11020726, 'companyLabelList': ['带薪年假', '定期体检'], 'businessZones': ['车公庙', '上沙', '香蜜湖'], 'longitude': '114.029564', 'latitude': '22.535769', 'formatCreateTime': '2018-12-20', 'companyFullName': '华泰期货有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 29, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545788253000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '7号线', 'stationname': '农林', 'linestaion': '1号线/罗宝线_香蜜湖;1号线/罗宝线_车公庙;11号线/机场线_车公庙;7号线_农林;7号线_车公庙;7号线_上沙;9号线_下沙;9号线_车公庙', 'thirdType': '数据分析', 'skillLables': []}"
12,"{'companyId': 146817, 'positionName': '数据分析师', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'financeStage': '不需要融资', 'companySize': '2000人以上', 'companyLogo': 'i/image/M00/75/44/CgqKkVgzorKALk3PAAAMc5IZxVc719.jpg', 'industryField': 'O2O,生活服务', 'city': '深圳', 'salary': '7k-14k', 'companyShortName': '前海联动云', 'positionId': 5298474, 'positionAdvantage': '共享汽车 风口行业 食堂 健身房', 'createTime': '2018-12-17 11:14:49', 'district': '罗湖区', 'score': 0, 'approve': 1, 'positionLables': ['汽车'], 'industryLables': ['汽车'], 'publisherId': 8313685, 'companyLabelList': ['O2O', '带薪年假', '交通补助', '午餐补助'], 'businessZones': ['笋岗', '蔡屋围'], 'longitude': '114.107071', 'latitude': '22.557567', 'formatCreateTime': '2018-12-17', 'companyFullName': '深圳前海联动云汽车租赁有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'overSevenDays', 'lastLogin': 1544064380000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '7号线', 'stationname': '红岭北', 'linestaion': '3号线/龙岗线_通新岭;3号线/龙岗线_红岭;7号线_红岭北;7号线_笋岗;9号线_泥岗;9号线_红岭北;9号线_园岭;9号线_红岭', 'thirdType': '数据分析', 'skillLables': []}"
13,"{'companyId': 62, 'positionName': '数据分析实习生（可转正）', 'workYear': '应届毕业生', 'education': '本科', 'jobNature': '全职', 'financeStage': 'C轮', 'companySize': '2000人以上', 'companyLogo': 'i/image2/M01/79/0A/CgoB5ltr2A-AM5SFAADbT9jQCn841.jpeg', 'industryField': '移动互联网,数据服务', 'city': '深圳', 'salary': '5k-10k', 'companyShortName': '字节跳动', 'positionId': 5453765, 'positionAdvantage': '弹性工作，免费三餐，租房补贴，休闲下午茶', 'createTime': '2018-12-25 23:06:43', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['数据挖掘'], 'industryLables': [], 'publisherId': 9798036, 'companyLabelList': ['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴'], 'businessZones': ['南油', '后海'], 'longitude': '113.925762', 'latitude': '22.511996', 'formatCreateTime': '1天前发布', 'companyFullName': '北京字节跳动科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545809090000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 1, 'subwayline': '2号线/蛇口线', 'stationname': '登良', 'linestaion': '2号线/蛇口线_登良;11号线/机场线_南山', 'thirdType': '其他数据开发', 'skillLables': ['数据挖掘']}"
14,"{'companyId': 381283, 'positionName': '数据分析师', 'workYear': '3-5年', 'education': '大专', 'jobNature': '全职', 'financeStage': '未融资', 'companySize': '500-2000人', 'companyLogo': 'i/image2/M01/B2/85/CgoB5lwBIHaAG2szAACsJt7LEck368.jpg', 'industryField': '电子商务', 'city': '深圳', 'salary': '6k-10k', 'companyShortName': '第一卫', 'positionId': 5359531, 'positionAdvantage': '绩效奖金 发展空间 包住/房补 健身房', 'createTime': '2018-12-17 11:50:50', 'district': '龙华新区', 'score': 0, 'approve': 1, 'positionLables': ['电商', '大数据'], 'industryLables': ['电商', '大数据'], 'publisherId': 4810116, 'companyLabelList': ['六险一金', '13-16薪', '绩效奖金', '节日礼物'], 'businessZones': None, 'longitude': '113.993764', 'latitude': '22.679499', 'formatCreateTime': '2018-12-17', 'companyFullName': '深圳第一卫科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 2, 'imState': 'threeDays', 'lastLogin': 1545703303000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': '数据分析', 'skillLables': []}"
15,"{'companyId': 53276, 'positionName': '数据分析（初级）', 'workYear': '1年以下', 'education': '本科', 'jobNature': '全职', 'financeStage': '不需要融资', 'companySize': '15-50人', 'companyLogo': 'image1/M00/1D/24/CgYXBlUpMseARbqhAABYXZneQV4028.png', 'industryField': '企业服务,数据服务', 'city': '深圳', 'salary': '4k-8k', 'companyShortName': '优阅达', 'positionId': 4663052, 'positionAdvantage': '不打卡,专业培训,周末双休,五险一金', 'createTime': '2018-12-24 14:28:47', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['大数据', '数据挖掘'], 'industryLables': ['大数据', '数据挖掘'], 'publisherId': 10954367, 'companyLabelList': ['技能培训', '节日礼物', '年底双薪', '带薪年假'], 'businessZones': ['南油', '海王大厦', '后海'], 'longitude': '113.927032', 'latitude': '22.516651', 'formatCreateTime': '2天前发布', 'companyFullName': '深圳市优阅达数据科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545804640000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '登良', 'linestaion': '2号线/蛇口线_登良;11号线/机场线_南山', 'thirdType': '数据分析', 'skillLables': ['数据挖掘']}"
16,"{'companyId': 24587, 'positionName': '数据分析师', 'workYear': '5-10年', 'education': '本科', 'jobNature': '全职', 'financeStage': '上市公司', 'companySize': '500-2000人', 'companyLogo': 'i/image2/M01/B1/68/CgoB5lv-WkSAH5NIAAAHsuZjfIw784.png', 'industryField': '金融', 'city': '深圳', 'salary': '20k-35k', 'companyShortName': '小赢科技', 'positionId': 5243170, 'positionAdvantage': '绩效奖金,弹性工作,五险一金', 'createTime': '2018-12-20 10:10:38', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': [], 'industryLables': [], 'publisherId': 292652, 'companyLabelList': ['五险一金', '两餐补助', '超低息员工贷', '年底奖金'], 'businessZones': ['深圳湾', '南油', '后海'], 'longitude': '113.941779', 'latitude': '22.519131', 'formatCreateTime': '2018-12-20', 'companyFullName': '深圳市小赢科技有限责任公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 67, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545803636000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '登良', 'linestaion': '2号线/蛇口线_登良;2号线/蛇口线_后海;2号线/蛇口线_科苑;11号线/机场线_后海', 'thirdType': '数据分析', 'skillLables': []}"
17,"{'companyId': 415481, 'positionName': '数据分析', 'workYear': '应届毕业生', 'education': '本科', 'jobNature': '全职', 'financeStage': '不需要融资', 'companySize': '少于15人', 'companyLogo': 'i/image2/M01/66/80/CgoB5ltC6C-ADmbuAAETgoGhTIQ079.png', 'industryField': '企业服务,数据服务', 'city': '深圳', 'salary': '6k-12k', 'companyShortName': '歧黄商业管理咨询有限公司', 'positionId': 5049709, 'positionAdvantage': '创始元老', 'createTime': '2018-12-17 09:57:47', 'district': '福田区', 'score': 0, 'approve': 1, 'positionLables': ['大数据'], 'industryLables': ['大数据'], 'publisherId': 11212764, 'companyLabelList': ['""""'], 'businessZones': ['振华路', '上步', '华强北'], 'longitude': '114.082005', 'latitude': '22.542374', 'formatCreateTime': '2018-12-17', 'companyFullName': '歧黄商业管理咨询有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'overSevenDays', 'lastLogin': 1545011859000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 1, 'subwayline': '2号线/蛇口线', 'stationname': '华强北', 'linestaion': '2号线/蛇口线_岗厦北;2号线/蛇口线_华强北;2号线/蛇口线_燕南;1号线/罗宝线_科学馆;1号线/罗宝线_华强路;3号线/龙岗线_华新;7号线_赤尾;7号线_华强南;7号线_华强北;7号线_华新', 'thirdType': '数据分析', 'skillLables': []}"
18,"{'companyId': 129585, 'positionName': '数据分析经理', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': '不需要融资', 'companySize': '50-150人', 'companyLogo': 'i/image/M00/2B/A8/CgqKkVc1iEiAH-77AABR92vM7Mw383.png', 'industryField': '电子商务', 'city': '深圳', 'salary': '15k-20k', 'companyShortName': '宏博伟智', 'positionId': 5289050, 'positionAdvantage': '发展空间大,福利待遇优,学习机会多', 'createTime': '2018-12-24 11:16:53', 'district': '龙岗区', 'score': 0, 'approve': 1, 'positionLables': ['数据挖掘', 'MySQL'], 'industryLables': [], 'publisherId': 5072887, 'companyLabelList': ['绩效奖金', '年终分红', '带薪年假', '提供住宿'], 'businessZones': ['坂田'], 'longitude': '114.081583', 'latitude': '22.628562', 'formatCreateTime': '2天前发布', 'companyFullName': '深圳市宏博伟智科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545786075000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '5号线/环中线', 'stationname': '杨美', 'linestaion': '5号线/环中线_坂田;5号线/环中线_杨美', 'thirdType': '数据分析', 'skillLables': ['数据挖掘', 'MySQL']}"
19,"{'companyId': 26088, 'positionName': '高级数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': 'A轮', 'companySize': '500-2000人', 'companyLogo': 'image1/M00/40/38/CgYXBlXC_HmALwgOAAAdmGKkGUI260.jpg', 'industryField': '移动互联网,O2O', 'city': '深圳', 'salary': '25k-40k', 'companyShortName': '深圳市丰巢科技有限公司', 'positionId': 4306251, 'positionAdvantage': '数据分析', 'createTime': '2018-12-17 14:43:50', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['电商', '物流', 'SPSS'], 'industryLables': ['电商', '物流', 'SPSS'], 'publisherId': 6898478, 'companyLabelList': ['五险一金', '通讯津贴', '交通补助', '带薪年假'], 'businessZones': ['南油', '蛇口', '前海'], 'longitude': '113.919418', 'latitude': '22.509455', 'formatCreateTime': '2018-12-17', 'companyFullName': '深圳市丰巢科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 4, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545804938000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': '数据分析', 'skillLables': ['SPSS']}"
20,"{'companyId': 479915, 'positionName': '(高级)数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': '不需要融资', 'companySize': '50-150人', 'companyLogo': 'i/image2/M01/AF/34/CgotOVv3nE2ACxZCAABeVRgc4VA822.jpg', 'industryField': '数据服务,其他', 'city': '深圳', 'salary': '15k-20k', 'companyShortName': 'dunnhumby 邓韩贝', 'positionId': 5425301, 'positionAdvantage': '20天带薪年假，高端医疗保险，扁平化管理', 'createTime': '2018-12-26 10:15:26', 'district': '罗湖区', 'score': 0, 'approve': 1, 'positionLables': ['大数据'], 'industryLables': ['大数据'], 'publisherId': 12077004, 'companyLabelList': ['""""'], 'businessZones': ['水贝', '翠竹', '洪湖'], 'longitude': '114.125058', 'latitude': '22.571168', 'formatCreateTime': '10:15发布', 'companyFullName': '邓韩贝信息技术咨询（上海）有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'today', 'lastLogin': 1545790490000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '7号线', 'stationname': '洪湖', 'linestaion': '3号线/龙岗线_田贝;3号线/龙岗线_水贝;5号线/环中线_太安;7号线_洪湖;7号线_田贝;7号线_太安', 'thirdType': '数据分析', 'skillLables': []}"
21,"{'companyId': 321001, 'positionName': '高级数据分析师', 'workYear': '5-10年', 'education': '硕士', 'jobNature': '全职', 'financeStage': 'C轮', 'companySize': '150-500人', 'companyLogo': 'i/image3/M00/3A/04/Cgq2xlqrmUuAceylAAEqBwqwwcw567.jpg', 'industryField': '金融,数据服务', 'city': '深圳', 'salary': '20k-30k', 'companyShortName': '微众税银', 'positionId': 5445117, 'positionAdvantage': '发展空间,公司福利好', 'createTime': '2018-12-21 13:41:53', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['金融', '可视化'], 'industryLables': ['金融', '可视化'], 'publisherId': 2155375, 'companyLabelList': ['年底双薪', '午餐补助', '年终分红', '绩效奖金'], 'businessZones': None, 'longitude': '113.940875', 'latitude': '22.545767', 'formatCreateTime': '2018-12-21', 'companyFullName': '深圳微众税银信息服务有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 100, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545786920000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '深大', 'linestaion': '1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': ['可视化']}"
22,"{'companyId': 49534, 'positionName': '大数据分析师', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'financeStage': 'A轮', 'companySize': '15-50人', 'companyLogo': 'image1/M00/00/81/CgYXBlTUXdeAaBWVAABBQtSf5WA612.jpg', 'industryField': '移动互联网,医疗健康', 'city': '深圳', 'salary': '15k-25k', 'companyShortName': '爱宝惟生物科技', 'positionId': 5367701, 'positionAdvantage': '周末双休\n朝九晚六\n五险一金\n年度旅游', 'createTime': '2018-12-11 14:55:43', 'district': '宝安区', 'score': 0, 'approve': 1, 'positionLables': ['大数据', '移动互联网', '数据挖掘', '数据处理'], 'industryLables': ['大数据', '移动互联网', '数据挖掘', '数据处理'], 'publisherId': 8053755, 'companyLabelList': ['技能培训', '绩效奖金', '年度旅游', '管理规范'], 'businessZones': ['西乡', '桃源居'], 'longitude': '113.87394', 'latitude': '22.59503', 'formatCreateTime': '2018-12-11', 'companyFullName': '深圳市爱宝惟生物科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 0, 'resumeProcessDay': 0, 'imState': 'sevenDays', 'lastLogin': 1545491156000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': '数据分析', 'skillLables': ['数据挖掘', '数据处理']}"
23,"{'companyId': 15647, 'positionName': '数据分析算法经理/工程师', 'workYear': '3-5年', 'education': '硕士', 'jobNature': '全职', 'financeStage': '上市公司', 'companySize': '2000人以上', 'companyLogo': 'image1/M00/00/1D/Cgo8PFTUWGSAdKQxAABLGb7pJRs364.jpg', 'industryField': '电子商务 ,数据服务', 'city': '深圳', 'salary': '18k-35k', 'companyShortName': '富士康科技集团', 'positionId': 5315347, 'positionAdvantage': '五险一金 年底双薪 加班补贴 大平台', 'createTime': '2018-12-26 08:13:17', 'district': '宝安区', 'score': 0, 'approve': 1, 'positionLables': ['大数据', '云计算'], 'industryLables': ['大数据', '云计算'], 'publisherId': 11986108, 'companyLabelList': ['年底双薪', '带薪年假', '全新的平台', '绩效奖金'], 'businessZones': ['龙华', '美丽365花园'], 'longitude': '114.051609', 'latitude': '22.648808', 'formatCreateTime': '08:13发布', 'companyFullName': '富泰华工业（深圳）有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 11, 'resumeProcessDay': 3, 'imState': 'today', 'lastLogin': 1545809556000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': '数据分析', 'skillLables': []}"
24,"{'companyId': 107664, 'positionName': '数据分析师', 'workYear': '1-3年', 'education': '本科', 'jobNature': '全职', 'financeStage': 'C轮', 'companySize': '500-2000人', 'companyLogo': 'i/image/M00/73/04/Cgp3O1gteKCAMVdbAAApNp8Trz8758.png', 'industryField': '移动互联网,金融', 'city': '深圳', 'salary': '10k-20k', 'companyShortName': 'AKULAKU', 'positionId': 3233747, 'positionAdvantage': '项目前景好,成长空间大,团队牛人多,期权激励', 'createTime': '2018-12-25 11:40:40', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['电商', '大数据', 'BI'], 'industryLables': ['电商', '大数据', 'BI'], 'publisherId': 3270902, 'companyLabelList': ['美女如云', '股票期权', '高速发展', '扁平管理'], 'businessZones': ['科技园', '深圳湾'], 'longitude': '113.944721', 'latitude': '22.528936', 'formatCreateTime': '1天前发布', 'companyFullName': '岩心科技（深圳）有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 76, 'resumeProcessDay': 1, 'imState': 'today', 'lastLogin': 1545804618000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '深大', 'linestaion': '2号线/蛇口线_后海;2号线/蛇口线_科苑;1号线/罗宝线_深大;11号线/机场线_后海', 'thirdType': '数据分析', 'skillLables': ['BI']}"
25,"{'companyId': 21775, 'positionName': '数据分析师', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': '未融资', 'companySize': '2000人以上', 'companyLogo': 'i/image3/M00/15/FC/CgpOIFpyw7qASEOJAACCJ6iqYFc65.jpeg', 'industryField': '移动互联网,硬件', 'city': '深圳', 'salary': '15k-25k', 'companyShortName': 'DJI大疆创新', 'positionId': 4948872, 'positionAdvantage': '大平台,福利好,机会多,前景广', 'createTime': '2018-12-17 16:21:33', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['商业'], 'industryLables': [], 'publisherId': 10885112, 'companyLabelList': ['朝阳行业', '丰厚薪资待遇', '年终发车', '扁平管理'], 'businessZones': ['科技园', '深圳湾', '南山医院'], 'longitude': '113.952222', 'latitude': '22.536797', 'formatCreateTime': '2018-12-17', 'companyFullName': '深圳市大疆创新科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 7, 'resumeProcessDay': 0, 'imState': 'threeDays', 'lastLogin': 1545618355000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '产品|需求|项目类', 'secondType': '数据分析', 'isSchoolJob': 0, 'subwayline': '2号线/蛇口线', 'stationname': '深大', 'linestaion': '2号线/蛇口线_科苑;1号线/罗宝线_高新园;1号线/罗宝线_深大', 'thirdType': '数据分析', 'skillLables': ['商业']}"
26,"{'companyId': 451, 'positionName': '数据分析高级工程师', 'workYear': '5-10年', 'education': '本科', 'jobNature': '全职', 'financeStage': '上市公司', 'companySize': '2000人以上', 'companyLogo': 'image1/M00/00/03/CgYXBlTUV_qALGv0AABEuOJDipU378.jpg', 'industryField': '移动互联网 ,游戏', 'city': '深圳', 'salary': '20k-40k', 'companyShortName': '腾讯', 'positionId': 5321926, 'positionAdvantage': '风口行业 在线教育 福利待遇好', 'createTime': '2018-12-24 07:36:40', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': ['教育', '电商', '数据库开发', '数据挖掘', 'MySQL'], 'industryLables': ['教育', '电商', '数据库开发', '数据挖掘', 'MySQL'], 'publisherId': 3309774, 'companyLabelList': ['免费班车', '成长空间', '年度旅游', '岗位晋升'], 'businessZones': ['前海', '南头', '科技园'], 'longitude': '113.933759', 'latitude': '22.540582', 'formatCreateTime': '2天前发布', 'companyFullName': '腾讯科技(深圳)有限公司', 'adWord': 0, 'hitags': ['免费班车', '年轻团队', '学习机会', 'mac办公', '定期团建', '开工利是红包'], 'resumeProcessRate': 100, 'resumeProcessDay': 2, 'imState': 'today', 'lastLogin': 1545806943000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '1号线/罗宝线', 'stationname': '桃园', 'linestaion': '1号线/罗宝线_深大;1号线/罗宝线_桃园', 'thirdType': '数据分析', 'skillLables': ['数据库开发', '数据挖掘', 'MySQL']}"
27,"{'companyId': 45711, 'positionName': '数据分析师', 'workYear': '不限', 'education': '硕士', 'jobNature': '全职', 'financeStage': '上市公司', 'companySize': '2000人以上', 'companyLogo': 'image1/M00/12/A5/CgYXBlUD_K2AakvbAACs64hK3oQ629.png', 'industryField': '医疗健康', 'city': '深圳', 'salary': '10k-20k', 'companyShortName': '健康元', 'positionId': 5379055, 'positionAdvantage': '双休 住房补 交通补 餐补 双薪 年终奖', 'createTime': '2018-12-20 09:31:34', 'district': '南山区', 'score': 0, 'approve': 1, 'positionLables': [], 'industryLables': [], 'publisherId': 878471, 'companyLabelList': ['年底双薪', '节日礼物', '带薪年假', '岗位晋升'], 'businessZones': ['科技园', '南山医院', '大冲'], 'longitude': '113.94452', 'latitude': '22.55665', 'formatCreateTime': '2018-12-20', 'companyFullName': '健康元药业集团股份有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 60, 'resumeProcessDay': 2, 'imState': 'today', 'lastLogin': 1545788436000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '运营|编辑|客服类', 'secondType': '运营', 'isSchoolJob': 0, 'subwayline': None, 'stationname': None, 'linestaion': None, 'thirdType': '数据运营', 'skillLables': []}"
28,"{'companyId': 41178, 'positionName': '高级数据分析工程师(J11469)', 'workYear': '3-5年', 'education': '本科', 'jobNature': '全职', 'financeStage': 'C轮', 'companySize': '2000人以上', 'companyLogo': 'image1/M00/00/66/Cgo8PFTUXWSACW7OAACKSYYZpsc111.png', 'industryField': '移动互联网,O2O', 'city': '深圳', 'salary': '20k-40k', 'companyShortName': '货拉拉', 'positionId': 5061208, 'positionAdvantage': '货拉拉,互联网公司', 'createTime': '2018-12-24 19:50:12', 'district': '福田区', 'score': 0, 'approve': 1, 'positionLables': ['物流', '移动互联网'], 'industryLables': ['物流', '移动互联网'], 'publisherId': 765920, 'companyLabelList': ['技能培训', '专项奖金', '绩效奖金', '扁平管理'], 'businessZones': ['上梅林', '莲花北村'], 'longitude': '114.059631', 'latitude': '22.569077', 'formatCreateTime': '2天前发布', 'companyFullName': '深圳依时货拉拉科技有限公司', 'adWord': 0, 'hitags': None, 'resumeProcessRate': 13, 'resumeProcessDay': 4, 'imState': 'today', 'lastLogin': 1545804866000, 'explain': None, 'plus': None, 'pcShow': 0, 'appShow': 0, 'deliver': 0, 'gradeDescription': None, 'promotionScoreExplain': None, 'firstType': '开发|测试|运维类', 'secondType': '数据开发', 'isSchoolJob': 0, 'subwayline': '4号线/龙华线', 'stationname': '孖岭', 'linestaion': '4号线/龙华线_莲花北;4号线/龙华线_上梅林;9号线_梅村;9号线_上梅林;9号线_孖岭', 'thirdType': '数据分析', 'skillLables': []}"
